entry_name,system,verdict,in_v2_matrix,missing_column,access,reason
Google Borg Cluster Trace 2011 (clusterdata-2011-2),Google Borg 2011 cell,COLUMN-LABEL,yes (as Borg-2011),,public,"Event-type enum labels outcomes (FAIL/EVICT/KILL/FINISH/LOST) but 'NO exit code, NO error/return status, and NO root cause or failure reason'."
Google Borg cluster trace 2019 (clusterdata-2019),Google Borg 2019 (8 cells),COLUMN-LABEL,yes (as Borg-2019),,public,"Same event-type enum (FAIL/EVICT/KILL/LOST/FINISH) as primary failure signal; 'no exit codes, no error messages', KILL partly a catch-all, EVICT folds preemption/OOM/machine-loss."
Google Borg Cluster Traces (clusterdata-2011-1 / ClusterData2019),Google Borg 2011 + 2019,DUPLICATE-OF Borg-2011 + Borg-2019,yes (as Borg-2011 and Borg-2019),,public,"Combined summary of the same two Google traces already cataloged (and columned) individually; identical event-type failure semantics, no new failure data."
Helios GPU Cluster Traces (HeliosData),SenseTime Helios (Venus/Earth/Saturn/Uranus),COLUMN-LABEL,yes (as Helios),,public,Job-level state enum COMPLETED/CANCELLED/FAILED/TIMEOUT/NODE_FAIL (does split app FAILED vs infra NODE_FAIL) but 'does NOT expose exit codes ... or any root-cause / failure-cause attribution'.
LANL Mustang cluster trace (ATLAS),LANL Mustang,COLUMN-LABEL,no,YES — should be a column,public,"job_status has only THREE values (Completed/Cancelled/Timeout) — 'NO distinct FAILED status and NO NODE_FAIL', no exit codes; weakest possible outcome-label column despite the 61-month lifetime trace."
LANL Trinity trace (ATLAS repository),LANL Trinity (ATLAS scheduler trace),COLUMN-CAUSE,no,YES — should be a column,public,"object_event JOBFAIL/JOBCANCEL plus 'completion_code field carries a UNIX errno-style reason for failed jobs (e.g. 12 = ENOMEM)' — coarse cause tags make per-cause failure shares computable (scheduler-level only, no hardware root cause)."
Parallel Workloads Archive (PWA),PWA aggregate (~40 SWF logs),COLUMN-LABEL,yes (as PWA-aggregate),,public,"SWF field 11 status (0=failed, 1=completed, 5=cancelled) per job; archive itself states it 'does NOT record exit codes, does NOT give root cause' and fail-vs-cancel is 'not necessarily accurate'."
Polaris public job-history logs (ALCF Public Data Catalog),ALCF Polaris,COLUMN-LABEL,no,YES — should be a column,public,"DIM_JOB_COMPOSITE exposes job final state + PBS EXIT_STATUS/completion code, but 'NO curated fault taxonomy, NO root-cause label, and NO mapping from exit code to cause'."
USRC/CFDR LANL Systems 8/15/16/23 Node Usage Traces (MX8/MX15/MX16/MX23),LANL 22-system / CFDR umbrella (usage companions),NO-FAILURE-INFO,no (failure companion LANL-22sys is a column),,public,"failure_info: 'these usage traces do NOT themselves label failures ... No failure/fault labels, no exit codes' — companions meant to be joined against the separate Schroeder-Gibson LANL failure data (= existing LANL-22sys column)."
ALCF I/O Data Repository (Darshan logs),ALCF Mira/Theta Darshan,NO-FAILURE-INFO,no,,public,"failure_info: 'contains NO failure, fault, or error labeling ... no job exit codes, no success/failure flags' — pure Darshan I/O telemetry with survivorship bias."
ALCF I/O Data Repository (Mira Darshan Log Collection),ALCF Mira/Theta Darshan,DUPLICATE-OF ALCF Mira/Theta Darshan (ALCF I/O Data Repository),no,,public,"Same ~700K anonymized Mira Darshan logs, same ANL/ALCF/TM-13/1 lineage and FTP host as the preceding entry; failure_info likewise 'does NOT label failures or faults, does NOT record job exit codes'."
ALCF Mira Darshan I/O Logs (ALCF I/O Data Repository),ALCF Mira/Theta Darshan,DUPLICATE-OF ALCF Mira/Theta Darshan (ALCF I/O Data Repository),no,,public,"Third catalog copy of the same ~700K Mira Darshan collection (Jan 2014 - Dec 2020); failure_info: 'NONE ... NO failure or fault labels, NO job exit codes'."
ALCF Polaris Darshan Log Collection,ALCF Polaris (Darshan),NO-FAILURE-INFO,no,,public,"failure_info: 'does NOT label failures or faults ... NO job exit codes, NO return/error codes, NO fault or root-cause fields' — distinct rolling Polaris collection (>1.2M logs), still pure I/O telemetry."
ALCF Public Data Catalog (Argonne Leadership Computing Facility Data Catalog),ALCF facility umbrella (Intrepid/Mira/Cooley/Theta/ThetaGPU/Polaris/Aurora),REPOSITORY,no,,public,"Facility-wide umbrella hosting DIM_JOB_COMPOSITE (source of the Polaris job-history entry) plus separate RAS tables (THETA_HARDWARE_ERROR with error codes/severity); failure info 'split across two table families', root cause not attached to jobs."
ALCF Public Data reports (Mira/Theta job + I/O + RAS summaries),ALCF portal (Mira + Theta umbrella),REPOSITORY,yes (Mira column covered via the Mira 2K-day entry; Theta itself is not a column),,public,"Portal serving distinct per-machine CSV data sets (Mira RAS_EVENT/DIM_JOB_COMPOSITE, Theta THETA_HARDWARE_ERROR, Darshan tables) that other catalog entries (Mira 2K-day, Theta job+Darshan, Theta Darshan summaries) are drawn from."
ALCF Theta Darshan Summary Reports (ANL-ALCF-DARSHAN-THETA),Theta,NO-FAILURE-INFO,no,,public,"failure_info: 'NONE. This is pure I/O telemetry/characterization... do NOT label job failures or faults, do NOT record exit codes... Do not treat this as a failure/fault dataset.'"
April 2020 Darshan counters from the Summit supercomputer,OLCF Summit,NO-FAILURE-INFO,no,,public,failure_info: 'NO failure/fault labeling... captures only jobs that COMPLETED SUCCESSFULLY... failed/crashed jobs are structurally excluded rather than labeled.'
Argonne Leadership Computing Facility DATA CATALOG,ALCF fleet (Aurora/Polaris/Theta/ThetaGPU/Mira/Cooley/Intrepid),DUPLICATE-OF ALCF Public Data portal (Mira/Theta),"yes (Mira only, as Mira)",,on-request (IEEE DataPort subscription),"Individually submitted IEEE DataPort compilation of the same ALCF public operational data (RAS events, THETA_HARDWARE_ERROR, job exit status) already covered by the reports.alcf.anl.gov portal entries; paywalled mirror, field claims unverified against the CSVs."
Backblaze Drive Stats (Hard Drive Test Data / SMART dataset),Backblaze cloud-storage fleet (component-level HDD/SSD),RATES-ONLY,no,,public,"Binary drive failure label + SMART only; 'NO field giving a fault code, exit status, failure mode, or root cause' — yields drive AFR side-table material, not shares of a job/failure-class breakdown."
COM1 (CFDR COM1) — Commercial disk hardware failure/repair log,Anonymous ISP disk fleet (CFDR umbrella),RATES-ONLY,no,,on-request (not openly downloadable via CFDR),"Disk repair/replacement log (26,734 SCSI drives) with free-text symptoms; supports ARR/replacement-rate statistics but no failure-class shares of a cluster workload breakdown; failure timing is a repair-time proxy."
COM3 (CFDR COM3 disk replacement data),Anonymous ISP FC storage (CFDR umbrella),RATES-ONLY,no,,paper-only (CFDR lists it but no download),"'failure/replacement data, but only at the AGGREGATE level' — one replacement tally per disk population for ARR (3.6–24.1%); explicitly NOT available for download, aggregates only in the FAST'07 paper."
darshan-hpc/darshan-logs example log repository (PyDarshan example logs),Mixed systems (curated Darshan test corpus),NO-FAILURE-INFO,no,,public,"failure_info: 'NO failure/fault labeling. This is pure I/O telemetry... a hard crash typically yields no log at all, so the corpus is inherently biased toward completed runs.'"
HPC1 (CFDR HPC1) hardware replacement log,PSC 765-node cluster (CFDR umbrella),RATES-ONLY,no,,on-request (CFDR registration/DUA),Hardware replacement events (474 compute + 124 FS-node disk swaps) with component named but 'no structured failure-cause taxonomy'; a hardware-replacement-only log cannot fill software/user rows of a failure-class breakdown — replacement-rate side-table material.
HPC2 disk replacement data (CFDR),LANL 256-node cluster (CFDR umbrella),RATES-ONLY,no,,public (CFDR),"'labels disk replacements... answers which drive in which node was replaced and when, and nothing about why' — disk ARR/inter-arrival rates only, no failure-class shares."
HPC3 data (CFDR),"Anonymized 1,532-node HPC cluster (CFDR umbrella)",RATES-ONLY,no,,on-request (CFDR request process),'a coarse fault-EVENT log' of disk replacements per day/population; 'gives essentially no root cause'; usable for replacement/ARR rates and inter-arrival statistics only.
I/O Burst Prediction Darshan dataset (Blue Waters + Mira + Theta),Blue Waters + Mira + Theta (Darshan corpora),NO-FAILURE-INFO,"yes for the underlying systems (BlueWaters, Mira) but this telemetry adds nothing",,on-request (Blue Waters via Globus) / public (ALCF portal); no combined release,"failure_info: 'No failure or fault labels of any kind... does NOT capture job exit codes, failures, faults, errors, or root cause' — the burst label is an engineered performance event, not a fault."
Mira 2K-day Multi-Source Job Failure Logs (RAS + Cobalt + Task-Execution + Darshan I/O),Mira,COLUMN-CAUSE,yes (as Mira),,public,"DSN'19 derives a job-failure taxonomy (Timeout, Bug SIGABRT/SIGSEGV, Kill, IO, RAS, SIGILL/SIGTRAP/SIGFPE) over 99,245 failures from 377,531 jobs, plus RAS FATAL hardware categories — quantitative shares with cause attribution."
NCSA Blue Waters Darshan I/O Logs (Blue Waters System Monitoring Data Set — Darshan component),Blue Waters,NO-FAILURE-INFO,"yes (BlueWaters column exists, sourced from other data)",,"on-request (Globus, Blue Waters Monitoring collection)","failure_info: 'No failure/fault labels, no exit codes, and no root-cause information in the Darshan logs themselves'; failure analysis requires joining the SEPARATE Torque/syslog datasets."
NERSC I/O Failure Database (CFDR NERSC / Remedy trouble-ticket data),NERSC fleet 2001-2006,COLUMN-CAUSE,no,YES — should be a column,on-request (CFDR / contact NERSC PDSI researchers; companion report public),"'This IS a failure/fault dataset... labels failure/outage EVENTS with the affected subsystem (storage/network/compute/FS)' with cause-of-outage categories; companion LBNL-934480 report quantifies breakdowns (power outages, SPOF, component failures) — cause shares exist, though free-text/analyst-coded."
Theta + Cori Darshan I/O Throughput Dataset (Isakov et al.),Theta + Cori,NO-FAILURE-INFO,no,,on-request (curated subsets unpublished; underlying logs partly public),"failure_info: 'No failure, fault, exit-code, or root-cause labels. This is purely I/O-performance telemetry'; 'error' in the source paper title means ML prediction error."
Theta job + Darshan I/O logs (ALCF),Theta,COLUMN-LABEL,no,YES — should be a column,public,"'Cobalt/scheduler (DIM_JOB_COMPOSITE) side DOES expose job exit status and completion/exit codes, and Cobalt job states distinguish outcomes (exited, killed, dep_fail)... NO categorized root-cause or fault-type label' — outcome labels/rates only."
USRC parallel-filesystem fsstats (anon-pfs 1-9),LANL anonymized parallel filesystems,NO-FAILURE-INFO,no,,public,"failure_info: 'NONE... no failure or fault labels, no exit codes, no job/node status, no error events... zero reliability/failure signal. Cannot be used to study failures at all.'"
USRC System 20 (MX20) Usage & Node Internal-Disk Failure Data,LANL System 20 (part of the LANL 1996-2005 collection),RATES-ONLY,"yes at collection level (LANL-22sys), but this entry's specific files are not the matrix source",,public,"Three usage files 'are NOT failure-labeled — they are utilization/usage telemetry'; the only failure content is the 14-record internal-disk-failure file (component-level, no root cause) — statistically thin event counts; the cause-labeled node-outage records belong to the separate LANL release already in the matrix."
USRC VPIC restart/checkpoint particle files (LANL operational VPIC dataset),VPIC simulation output (LANL),NO-FAILURE-INFO,no,,public,failure_info: 'NONE. This is pure simulation physics telemetry... not tied to any observed crash or fault. For failure-analysis purposes this dataset is a negative case.'
USRC Workstation Filesystem Statistics & Archive/NFS Metadata (LANL),LANL workstations + archive/NFS filesystems,NO-FAILURE-INFO,no,,public,failure_info: 'NONE. This is static filesystem/namespace metadata... Cannot be used to study when or why anything failed.'
"FTA — Failure Trace Archive (non-HPC subsets: lri05, deug05, pl05, websites02, ldns04, overnet03, microsoft99)","Commodity/internet-scale systems (desktop grids, PlanetLab, DNS, P2P, web)",RATES-ONLY,no,,public (primary site intermittently down; download pages 403/404 at check time),"Binary up/down availability intervals inferred from probing; 'does NOT expose exit codes, job-failure records, or verified root cause'; unavailability conflates crash/reboot/partition/maintenance — availability/MTBF side-table material only."
FTA — SETI@home host availability trace,SETI@home volunteer desktop grid (FTA),RATES-ONLY,no,,gone (FTA host connection refused as of 2026-07; may need Wayback/curators),"'TELEMETRY / AVAILABILITY ONLY' — ~230K hosts' available/unavailable transitions; 'labels WHEN a host becomes unavailable and for how long... but not WHY' — availability-interval rates, no failure breakdown."
RoWD (Rogue Workload Detector) framework — releases the SCRIPT-AI dataset,Fugaku,NO-FAILURE-INFO,"yes (Fugaku column exists via F-DATA, not via this entry)",,on-request (paper paywalled; SCRIPT-AI release location unconfirmed),"failure_info: 'This resource does NOT label failures, faults, exit codes, or root cause... labels concern WORKLOAD TYPE... There is no failure/exit-code/root-cause signal here' (Fugaku exit codes live in the separate F-DATA entry)."
Unicron (Alibaba),Alibaba production LLM clusters (Unicron),PAPER-STATS,yes (as Alibaba-Unicron),,paper-only,"Cause shares published (43.4% job-failure rate, ~37% hardware, ~73% restart-remediable) but 'No raw trace' — paper-stats-only"
From Detection to Recovery (504x B200 cluster),Lablup/SKT/NVIDIA Korea B200 cluster,PAPER-STATS,yes (as DGX-B200),,paper-only,"10 XID-classified GPU failures with precursor analysis + 523 checkpoint-I/O events — 'Tables, no raw dump'"
SuperBench (Microsoft Azure A100 fleet),Microsoft Azure A100 fleet,PAPER-STATS,yes (as SuperBench-Azure),,paper-only,"Defect-node rate (10.36% flagged defective), gray-failure/degradation stats, MTBI gains — 'No raw data'"
"L4 (Microsoft ""Platform-X"")",Microsoft Platform-X,PAPER-STATS,yes (as Platform-X-L4),,paper-only,Root-cause distribution over 428 real LLM-training failures (hardware + user dominant); 'Underlying logs proprietary'
"Fault-Tolerant HSDP at 100,000 GPUs (Meta)",Meta ~32K-GPU HSDP job,PAPER-STATS,yes (as Meta-HSDP-100k),,paper-only,"2.3 interruptions per 1,000 servers/day, 78% hardware-caused, 95-97% effective training time — paper-stats-only"
Minder (ByteDance),ByteDance Ampere training clusters,RATES-ONLY,no,,paper-only,150 runtime fault instances over 9 months; 'Dataset not released' and no published cause-share distribution
BLOOM / BigScience training chronicles (176B),Jean Zay (BLOOM 176B run),RATES-ONLY,no,,public,"~1-2 GPU hardware failures/week as dated narrative — 'Human-readable, not machine-parseable labels', no failure-share breakdown"
GLM-130B training logs (Tsinghua / Zhipu),Tsinghua/Zhipu GLM-130B cluster,RATES-ONLY,no,,public,"Dated hardware failures, NaN-loss/data issues, FP16 instabilities — narrative logbook events, no quantitative cause shares"
"Imbue 70B ""from bare metal"" report","Imbue 4,092x H100 / 511-host cluster",RATES-ONLY,no,,public,"Bring-up defect inventory (PCIe link-width degradation ~25% of hosts, ECC/NVLink) — 'Categorical inventory, not a time series'; burn-in defects, not production failure shares"
LLM360 (Amber / CrystalCoder / K2),LLM360 open training runs,RATES-ONLY,no,,public,"Loss-spike events (benign vs malignant); 'light on hardware faults' — instability events only, no failure breakdown"
TPUv4 Resiliency at Scale (Google),Google TPUv4 pods,RATES-ONLY,no,,paper-only,"Availability (99.98%), goodput (>97%), failure-mode discussion — 'No raw data' and no quantitative cause-share breakdown"
Smaller AI silent-data-corruption studies,"various (LLM-PRISM, llm-sdc-training, ACL 2025 SDC, Anatomy of SDC)",NO-FAILURE-INFO,no,,mixed (mostly paper-only; one public artifact),Synthetic/injected faults only: 'simulated faults' and 'gate-level fault injection' — no field failure shares or outcome labels
"SURF Lisa ""Generic and ML Workloads in an HPC Datacenter""",SURF Lisa,COLUMN-LABEL,yes (as SURF-Lisa),,public,"Per-job Slurm exit state, failure rates, energy wasted, explicit ML-vs-generic split — outcome labels, not RAS cause attribution"
NREL Eagle HPC Jobs,NREL Eagle,COLUMN-LABEL,yes (as NREL-Eagle),,public,"Slurm exit states incl. FAILED, NODE_FAIL, CANCELLED, TIMEOUT, OUT_OF_MEMORY over 11M+ jobs"
NREL Kestrel HPC Jobs,NREL Kestrel,COLUMN-LABEL,yes (as NREL-Kestrel),,public,'Same Slurm state family incl. NODE_FAIL' — per-job outcome labels
IN2P3 Computing Center 2024 Workload Dataset,IN2P3 Computing Center,COLUMN-LABEL,no,YES — should be a column,public,"'Per-job execution/exit records (job-outcome level, no RAS console labels)' over 44M jobs"
ALCF Cobalt workload + RAS traces (IIT / Zhiling Lan),ANL Intrepid + Mira (ALCF Cobalt),COLUMN-CAUSE,yes (as Mira; the Intrepid portion has no column),,public (with citation),'Job termination info PLUS separate RAS/hardware-fault logs — a rare pairing of job outcome with machine faults'
Two Sigma cluster trace (via CMU ATLAS),Two Sigma (CMU ATLAS),COLUMN-LABEL,yes (as TwoSigma),,public,'job_status field (JOBEND / JOBFAIL / JOBCANCEL) + wallclock_limit for timeout inference'
Frontier Energy / Waste-Heat Dataset (OLCF),Frontier,NO-FAILURE-INFO,"yes (Frontier column exists but is fed by the SC'23 defect study, not this dataset)",,public,'Failure info: none (power/thermal telemetry only)'
Adastra MI250 power dataset (CINES/GENCI),Adastra (CINES),NO-FAILURE-INFO,no,,public,'Failure info: none (power only)'
LAST — Lassen job/energy dataset (LLNL),LLNL Lassen,COLUMN-LABEL,no,YES — should be a column,public-but-verify (possibly on-request),"'Job-step disposition (completion/outcome), not RAS console logs' over ~1.4M jobs"
"DKRZ ""Mistral"" job I/O dataset (Betke & Kunkel)",DKRZ Mistral,NO-FAILURE-INFO,no,,papers open; raw repo unreachable — likely contact authors,"'Failure info: NONE. I/O telemetry only, curated to completed jobs; no exit codes or causes'"
DKRZ Mistral Slurm job-history dataset,DKRZ Mistral,COLUMN-LABEL,no,YES — should be a column,unverified ('see paper'),'Carries job state/exit fields — the failure-relevant Mistral dataset (distinct from the I/O one)'
SNIA IOTTA Trace Repository (incl. Reliability sub-collection),SNIA IOTTA umbrella,REPOSITORY,no,,public (click-through license),'Umbrella repo of block/NFS/syscall/KV traces + a reliability sub-collection' hosting other entries
SNIA Reliability Traces: Alibaba NVMe Fail-Slow & Fail-Stop,Alibaba NVMe fleet (via SNIA IOTTA),RATES-ONLY,no,,public,"'Explicit fail-slow (degradation) and fail-stop (hard) device events' — device-level events, not shares of a cluster failure breakdown"
Alibaba SSD SMART logs (dcbrain),Alibaba SSD fleet (dcbrain),RATES-ONLY,no,,public,"'Failure labels via trouble tickets aligned to SMART time series' — per-device prediction labels, not failure-class shares"
Dataset of SSD Failures in Alibaba (Tianchi / FAST'21),Alibaba SSD fleet (Tianchi/FAST'21; distinct ~1M-SSD fleet cut from dcbrain),RATES-ONLY,no,,public (Tianchi registration),"'Failure tickets + location/app context for correlated/cascading analysis' — device-level failure labels, side-table material"
Large-scale Disk Failure Prediction Dataset (Tianchi / PAKDD 2020 Alibaba AIOps),Alibaba HDD fleet (PAKDD 2020),RATES-ONLY,no,,public (Tianchi registration),"'Per-disk failure labels (strongly class-imbalanced)' — prediction benchmark, no failure-breakdown shares"
TOKIO / pytokio + NERSC Cori Darshan+LMT corpus,NERSC Cori,NO-FAILURE-INFO,no,,code public; archives largely on-request,"'Mostly performance/congestion telemetry, not hard failure labels'"
I/O Traces of HPC Applications (Frontera / Zenodo),TACC Frontera,NO-FAILURE-INFO,no,,public (CC-BY-4.0),'Failure info: none (behavioral I/O/telemetry only)'
